agents,private_accuracy,shared_accuracy,attenders_before_switch,private_attention_value,social_attention_value,attention_wedge
3,5/6,1/3,0,-43/216,-1/72,-5/27
3,5/6,1/3,1,-197/648,-5/54,-137/648
3,5/6,1/3,2,-29/54,-5/9,1/54
3,5/6,1/2,0,-43/324,-1/108,-10/81
3,5/6,1/2,1,-23/108,-5/72,-31/216
3,5/6,1/2,2,-7/18,-5/12,1/36
3,5/6,2/3,0,-43/648,-1/216,-5/81
3,5/6,2/3,1,-79/648,-5/108,-49/648
3,5/6,2/3,2,-13/54,-5/18,1/27
3,5/6,3/4,0,-43/1296,-1/432,-5/162
3,5/6,3/4,1,-11/144,-5/144,-1/24
3,5/6,3/4,2,-1/6,-5/24,1/24
3,5/6,5/6,0,0,0,0
3,5/6,5/6,1,-5/162,-5/216,-5/648
3,5/6,5/6,2,-5/54,-5/36,5/108
4,1/3,1/3,0,0,0,0
4,1/3,1/3,1,-11/162,-8/81,5/162
4,1/3,1/3,2,-19/162,-4/27,5/162
4,1/3,1/3,3,-1/6,-2/9,1/18
4,1/3,1/2,0,65/648,4/81,11/216
4,1/3,1/2,1,5/324,-2/27,29/324
4,1/3,1/2,2,-1/27,-1/9,2/27
4,1/3,1/2,3,-1/12,-1/6,1/12
4,1/3,2/3,0,65/324,8/81,11/108
4,1/3,2/3,1,8/81,-4/81,4/27
4,1/3,2/3,2,7/162,-2/27,19/162
4,1/3,2/3,3,0,-1/9,1/9
4,1/3,3/4,0,325/1296,10/81,55/432
4,1/3,3/4,1,91/648,-1/27,115/648
4,1/3,3/4,2,1/12,-1/18,5/36
4,1/3,3/4,3,1/24,-1/12,1/8
4,1/3,5/6,0,65/216,4/27,11/72
4,1/3,5/6,1,59/324,-2/81,67/324
4,1/3,5/6,2,10/81,-1/27,13/81
4,1/3,5/6,3,1/12,-1/18,5/36
4,1/2,1/3,0,-5/64,-1/48,-11/192
4,1/2,1/3,1,-13/96,-1/12,-5/96
4,1/2,1/3,2,-29/144,-1/6,-5/144
4,1/2,1/3,3,-7/24,-1/3,1/24
4,1/2,1/2,0,0,0,0
4,1/2,1/2,1,-11/192,-1/16,1/192
4,1/2,1/2,2,-11/96,-1/8,1/96
4,1/2,1/2,3,-3/16,-1/4,1/16
4,1/2,2/3,0,5/64,1/48,11/192
4,1/2,2/3,1,1/48,-1/24,1/16
4,1/2,2/3,2,-1/36,-1/12,1/18
4,1/2,2/3,3,-1/12,-1/6,1/12
4,1/2,3/4,0,15/128,1/32,11/128
4,1/2,3/4,1,23/384,-1/32,35/384
4,1/2,3/4,2,1/64,-1/16,5/64
4,1/2,3/4,3,-1/32,-1/8,3/32
4,1/2,5/6,0,5/32,1/24,11/96
4,1/2,5/6,1,19/192,-1/48,23/192
4,1/2,5/6,2,17/288,-1/24,29/288
4,1/2,5/6,3,1/48,-1/12,5/48
4,2/3,1/3,0,-10/81,-1/81,-1/9
4,2/3,1/3,1,-29/162,-4/81,-7/54
4,2/3,1/3,2,-43/162,-4/27,-19/162
4,2/3,1/3,3,-5/12,-4/9,1/36
4,2/3,1/2,0,-5/81,-1/162,-1/18
4,2/3,1/2,1,-35/324,-1/27,-23/324
4,2/3,1/2,2,-19/108,-1/9,-7/108
4,2/3,1/2,3,-7/24,-1/3,1/24
4,2/3,2/3,0,0,0,0
4,2/3,2/3,1,-1/27,-2/81,-1/81
4,2/3,2/3,2,-7/81,-2/27,-1/81
4,2/3,2/3,3,-1/6,-2/9,1/18
4,2/3,3/4,0,5/162,1/324,1/36
4,2/3,3/4,1,-1/648,-1/54,11/648
4,2/3,3/4,2,-1/24,-1/18,1/72
4,2/3,3/4,3,-5/48,-1/6,1/16
4,2/3,5/6,0,5/81,1/162,1/18
4,2/3,5/6,1,11/324,-1/81,5/108
4,2/3,5/6,2,1/324,-1/27,13/324
4,2/3,5/6,3,-1/24,-1/9,5/72
4,3/4,1/3,0,-425/3072,-5/768,-135/1024
4,3/4,1/3,1,-149/768,-1/32,-125/768
4,3/4,1/3,2,-167/576,-1/8,-95/576
4,3/4,1/3,3,-23/48,-1/2,1/48
4,3/4,1/2,0,-85/1024,-1/256,-81/1024
4,3/4,1/2,1,-65/512,-3/128,-53/512
4,3/4,1/2,2,-77/384,-3/32,-41/384
4,3/4,1/2,3,-11/32,-3/8,1/32
4,3/4,2/3,0,-85/3072,-1/768,-27/1024
4,3/4,2/3,1,-23/384,-1/64,-17/384
4,3/4,2/3,2,-1/9,-1/16,-7/144
4,3/4,2/3,3,-5/24,-1/4,1/24
4,3/4,3/4,0,0,0,0
4,3/4,3/4,1,-27/1024,-3/256,-15/1024
4,3/4,3/4,2,-17/256,-3/64,-5/256
4,3/4,3/4,3,-9/64,-3/16,3/64
4,3/4,5/6,0,85/3072,1/768,27/1024
4,3/4,5/6,1,11/1536,-1/128,23/1536
4,3/4,5/6,2,-25/1152,-1/32,11/1152
4,3/4,5/6,3,-7/96,-1/8,5/96
4,5/6,1/3,0,-259/1728,-1/432,-85/576
4,5/6,1/3,1,-533/2592,-5/324,-493/2592
4,5/6,1/3,2,-401/1296,-5/54,-281/1296
4,5/6,1/3,3,-13/24,-5/9,1/72
4,5/6,1/2,0,-259/2592,-1/648,-85/864
4,5/6,1/2,1,-739/5184,-5/432,-679/5184
4,5/6,1/2,2,-191/864,-5/72,-131/864
4,5/6,1/2,3,-19/48,-5/12,1/48
4,5/6,2/3,0,-259/5184,-1/1296,-85/1728
4,5/6,2/3,1,-103/1296,-5/648,-31/432
4,5/6,2/3,2,-43/324,-5/108,-7/81
4,5/6,2/3,3,-1/4,-5/18,1/36
4,5/6,3/4,0,-259/10368,-1/2592,-85/3456
4,5/6,3/4,1,-497/10368,-5/864,-437/10368
4,5/6,3/4,2,-17/192,-5/144,-31/576
4,5/6,3/4,3,-17/96,-5/24,1/32
4,5/6,5/6,0,0,0,0
4,5/6,5/6,1,-85/5184,-5/1296,-65/5184
4,5/6,5/6,2,-115/2592,-5/216,-55/2592
4,5/6,5/6,3,-5/48,-5/36,5/144
5,1/3,1/3,0,0,0,0
5,1/3,1/3,1,-131/2430,-16/243,29/2430
5,1/3,1/3,2,-38/405,-8/81,2/405
5,1/3,1/3,3,-2/15,-4/27,2/135
5,1/3,1/3,4,-8/45,-2/9,2/45
5,1/3,1/2,0,211/2430,8/243,131/2430
5,1/3,1/2,1,7/360,-4/81,223/3240
5,1/3,1/2,2,-19/810,-2/27,41/810
5,1/3,1/2,3,-11/180,-1/9,1/20
5,1/3,1/2,4,-1/10,-1/6,1/15
5,1/3,2/3,0,211/1215,16/243,131/1215
5,1/3,2/3,1,451/4860,-8/243,611/4860
5,1/3,2/3,2,19/405,-4/81,13/135
5,1/3,2/3,3,1/90,-2/27,23/270
5,1/3,2/3,4,-1/45,-1/9,4/45
5,1/3,3/4,0,211/972,20/243,131/972
5,1/3,3/4,1,839/6480,-2/81,37/240
5,1/3,3/4,2,133/1620,-1/27,193/1620
5,1/3,3/4,3,17/360,-1/18,37/360
5,1/3,3/4,4,1/60,-1/12,1/10
5,1/3,5/6,0,211/810,8/81,131/810
5,1/3,5/6,1,323/1944,-4/243,355/1944
5,1/3,5/6,2,19/162,-2/81,23/162
5,1/3,5/6,3,1/12,-1/27,13/108
5,1/3,5/6,4,1/18,-1/18,1/9
5,1/2,1/3,0,-31/480,-1/96,-13/240
5,1/2,1/3,1,-101/960,-1/24,-61/960
5,1/2,1/3,2,-109/720,-1/12,-49/720
5,1/2,1/3,3,-17/80,-1/6,-11/240
5,1/2,1/3,4,-3/10,-1/3,1/30
5,1/2,1/2,0,0,0,0
5,1/2,1/2,1,-13/320,-1/32,-3/320
5,1/2,1/2,2,-13/160,-1/16,-3/160
5,1/2,1/2,3,-21/160,-1/8,-1/160
5,1/2,1/2,4,-1/5,-1/4,1/20
5,1/2,2/3,0,31/480,1/96,13/240
5,1/2,2/3,1,23/960,-1/48,43/960
5,1/2,2/3,2,-1/90,-1/24,11/360
5,1/2,2/3,3,-1/20,-1/12,1/30
5,1/2,2/3,4,-1/10,-1/6,1/15
5,1/2,3/4,0,31/320,1/64,13/160
5,1/2,3/4,1,9/160,-1/64,23/320
5,1/2,3/4,2,23/960,-1/32,53/960
5,1/2,3/4,3,-3/320,-1/16,17/320
5,1/2,3/4,4,-1/20,-1/8,3/40
5,1/2,5/6,0,31/240,1/48,13/120
5,1/2,5/6,1,17/192,-1/96,19/192
5,1/2,5/6,2,17/288,-1/48,23/288
5,1/2,5/6,3,1/32,-1/24,7/96
5,1/2,5/6,4,0,-1/12,1/12
5,2/3,1/3,0,-121/1215,-1/243,-116/1215
5,2/3,1/3,1,-329/2430,-4/243,-289/2430
5,2/3,1/3,2,-76/405,-4/81,-56/405
5,2/3,1/3,3,-49/180,-4/27,-67/540
5,2/3,1/3,4,-19/45,-4/9,1/45
5,2/3,1/2,0,-121/2430,-1/486,-58/1215
5,2/3,1/2,1,-43/540,-1/81,-109/1620
5,2/3,1/2,2,-49/405,-1/27,-34/405
5,2/3,1/2,3,-67/360,-1/9,-3/40
5,2/3,1/2,4,-3/10,-1/3,1/30
5,2/3,2/3,0,0,0,0
5,2/3,2/3,1,-29/1215,-2/243,-19/1215
5,2/3,2/3,2,-22/405,-2/81,-4/135
5,2/3,2/3,3,-1/10,-2/27,-7/270
5,2/3,2/3,4,-8/45,-2/9,2/45
5,2/3,3/4,0,121/4860,1/972,29/1215
5,2/3,3/4,1,13/3240,-1/162,11/1080
5,2/3,3/4,2,-17/810,-1/54,-1/405
5,2/3,3/4,3,-41/720,-1/18,-1/720
5,2/3,3/4,4,-7/60,-1/6,1/20
5,2/3,5/6,0,121/2430,1/486,58/1215
5,2/3,5/6,1,31/972,-1/243,35/972
5,2/3,5/6,2,1/81,-1/81,2/81
5,2/3,5/6,3,-1/72,-1/27,5/216
5,2/3,5/6,4,-1/18,-1/9,1/18
5,3/4,1/3,0,-341/3072,-5/3072,-7/64
5,3/4,1/3,1,-2237/15360,-1/128,-2117/15360
5,3/4,1/3,2,-1151/5760,-1/32,-971/5760
5,3/4,1/3,3,-283/960,-1/8,-163/960
5,3/4,1/3,4,-29/60,-1/2,1/60
5,3/4,1/2,0,-341/5120,-1/1024,-21/320
5,3/4,1/2,1,-481/5120,-3/512,-451/5120
5,3/4,1/2,2,-521/3840,-3/128,-431/3840
5,3/4,1/2,3,-133/640,-3/32,-73/640
5,3/4,1/2,4,-7/20,-3/8,1/40
5,3/4,2/3,0,-341/15360,-1/3072,-7/320
5,3/4,2/3,1,-649/15360,-1/256,-589/15360
5,3/4,2/3,2,-103/1440,-1/64,-161/2880
5,3/4,2/3,3,-29/240,-1/16,-7/120
5,3/4,2/3,4,-13/60,-1/4,1/30
5,3/4,3/4,0,0,0,0
5,3/4,3/4,1,-21/1280,-3/1024,-69/5120
5,3/4,3/4,2,-101/2560,-3/256,-71/2560
5,3/4,3/4,3,-99/1280,-3/64,-39/1280
5,3/4,3/4,4,-3/20,-3/16,3/80
5,3/4,5/6,0,341/15360,1/3072,7/320
5,3/4,5/6,1,29/3072,-1/512,35/3072
5,3/4,5/6,2,-17/2304,-1/128,1/2304
5,3/4,5/6,3,-13/384,-1/32,-1/384
5,3/4,5/6,4,-1/12,-1/8,1/24
5,5/6,1/3,0,-311/2592,-1/2592,-155/1296
5,5/6,1/3,1,-2393/15552,-5/1944,-2353/15552
5,5/6,1/3,2,-271/1296,-5/324,-251/1296
5,5/6,1/3,3,-5/16,-5/54,-95/432
5,5/6,1/3,4,-49/90,-5/9,1/90
5,5/6,1/2,0,-311/3888,-1/3888,-155/1944
5,5/6,1/2,1,-61/576,-5/2592,-539/5184
5,5/6,1/2,2,-383/2592,-5/432,-353/2592
5,5/6,1/2,3,-65/288,-5/72,-5/32
5,5/6,1/2,4,-2/5,-5/12,1/60
5,5/6,2/3,0,-311/7776,-1/7776,-155/3888
5,5/6,2/3,1,-901/15552,-5/3888,-881/15552
5,5/6,2/3,2,-7/81,-5/648,-17/216
5,5/6,2/3,3,-5/36,-5/108,-5/54
5,5/6,2/3,4,-23/90,-5/18,1/45
5,5/6,3/4,0,-311/15552,-1/15552,-155/7776
5,5/6,3/4,1,-11/324,-5/5184,-19/576
5,5/6,3/4,2,-289/5184,-5/864,-259/5184
5,5/6,3/4,3,-55/576,-5/144,-35/576
5,5/6,3/4,4,-11/60,-5/24,1/40
5,5/6,5/6,0,0,0,0
5,5/6,5/6,1,-155/15552,-5/7776,-145/15552
5,5/6,5/6,2,-65/2592,-5/1296,-55/2592
5,5/6,5/6,3,-5/96,-5/216,-25/864
5,5/6,5/6,4,-1/9,-5/36,1/36
6,1/3,1/3,0,0,0,0
6,1/3,1/3,1,-473/10935,-32/729,7/10935
6,1/3,1/3,2,-553/7290,-16/243,-73/7290
6,1/3,1/3,3,-131/1215,-8/81,-11/1215
6,1/3,1/3,4,-58/405,-4/27,2/405
6,1/3,1/3,5,-5/27,-2/9,1/27
6,1/3,1/2,0,665/8748,16/729,473/8748
6,1/3,1/2,1,16/729,-8/243,40/729
6,1/3,1/2,2,-131/9720,-4/81,349/9720
6,1/3,1/2,3,-2/45,-2/27,4/135
6,1/3,1/2,4,-41/540,-1/9,19/540
6,1/3,1/2,5,-1/9,-1/6,1/18
6,1/3,2/3,0,665/4374,32/729,473/4374
6,1/3,2/3,1,953/10935,-16/729,1193/10935
6,1/3,2/3,2,713/14580,-8/243,1193/14580
6,1/3,2/3,3,23/1215,-4/81,83/1215
6,1/3,2/3,4,-7/810,-2/27,53/810
6,1/3,2/3,5,-1/27,-1/9,2/27
6,1/3,3/4,0,3325/17496,40/729,2365/17496
6,1/3,3/4,1,97/810,-4/243,331/2430
6,1/3,3/4,2,173/2160,-2/81,679/6480
6,1/3,3/4,3,41/810,-1/27,71/810
6,1/3,3/4,4,1/40,-1/18,29/360
6,1/3,3/4,5,0,-1/12,1/12
6,1/3,5/6,0,665/2916,16/243,473/2916
6,1/3,5/6,1,1666/10935,-8/729,1786/10935
6,1/3,5/6,2,649/5832,-4/243,745/5832
6,1/3,5/6,3,20/243,-2/81,26/243
6,1/3,5/6,4,19/324,-1/27,31/324
6,1/3,5/6,5,1/27,-1/18,5/54
6,1/2,1/3,0,-7/128,-1/192,-19/384
6,1/2,1/3,1,-27/320,-1/48,-61/960
6,1/2,1/3,2,-113/960,-1/24,-73/960
6,1/2,1/3,3,-77/480,-1/12,-37/480
6,1/2,1/3,4,-79/360,-1/6,-19/360
6,1/2,1/3,5,-11/36,-1/3,1/36
6,1/2,1/2,0,0,0,0
6,1/2,1/2,1,-19/640,-1/64,-9/640
6,1/2,1/2,2,-19/320,-1/32,-9/320
6,1/2,1/2,3,-91/960,-1/16,-31/960
6,1/2,1/2,4,-17/120,-1/8,-1/60
6,1/2,1/2,5,-5/24,-1/4,1/24
6,1/2,2/3,0,7/128,1/192,19/384
6,1/2,2/3,1,1/40,-1/96,17/480
6,1/2,2/3,2,-1/960,-1/48,19/960
6,1/2,2/3,3,-7/240,-1/24,1/80
6,1/2,2/3,4,-23/360,-1/12,7/360
6,1/2,2/3,5,-1/9,-1/6,1/18
6,1/2,3/4,0,21/256,1/128,19/256
6,1/2,3/4,1,67/1280,-1/128,77/1280
6,1/2,3/4,2,9/320,-1/64,7/160
6,1/2,3/4,3,7/1920,-1/32,67/1920
6,1/2,3/4,4,-1/40,-1/16,3/80
6,1/2,3/4,5,-1/16,-1/8,1/16
6,1/2,5/6,0,7/64,1/96,19/192
6,1/2,5/6,1,51/640,-1/192,163/1920
6,1/2,5/6,2,11/192,-1/96,13/192
6,1/2,5/6,3,7/192,-1/48,11/192
6,1/2,5/6,4,1/72,-1/24,1/18
6,1/2,5/6,5,-1/72,-1/12,5/72
6,2/3,1/3,0,-182/2187,-1/729,-179/2187
6,2/3,1/3,1,-2357/21870,-4/729,-2237/21870
6,2/3,1/3,2,-1033/7290,-4/243,-913/7290
6,2/3,1/3,3,-937/4860,-4/81,-697/4860
6,2/3,1/3,4,-112/405,-4/27,-52/405
6,2/3,1/3,5,-23/54,-4/9,1/54
6,2/3,1/2,0,-91/2187,-1/1458,-179/4374
6,2/3,1/2,1,-181/2916,-1/243,-169/2916
6,2/3,1/2,2,-433/4860,-1/81,-373/4860
6,2/3,1/2,3,-139/1080,-1/27,-11/120
6,2/3,1/2,4,-26/135,-1/9,-11/135
6,2/3,1/2,5,-11/36,-1/3,1/36
6,2/3,2/3,0,0,0,0
6,2/3,2/3,1,-179/10935,-2/729,-149/10935
6,2/3,2/3,2,-133/3645,-2/243,-103/3645
6,2/3,2/3,3,-157/2430,-2/81,-97/2430
6,2/3,2/3,4,-44/405,-2/27,-14/405
6,2/3,2/3,5,-5/27,-2/9,1/27
6,2/3,3/4,0,91/4374,1/2916,179/8748
6,2/3,3/4,1,7/1080,-1/486,83/9720
6,2/3,3/4,2,-11/1080,-1/162,-13/3240
6,2/3,3/4,3,-211/6480,-1/54,-91/6480
6,2/3,3/4,4,-1/15,-1/18,-1/90
6,2/3,3/4,5,-1/8,-1/6,1/24
6,2/3,5/6,0,91/2187,1/1458,179/4374
6,2/3,5/6,1,1283/43740,-1/729,1343/43740
6,2/3,5/6,2,47/2916,-1/243,59/2916
6,2/3,5/6,3,-1/1944,-1/81,23/1944
6,2/3,5/6,4,-2/81,-1/27,1/81
6,2/3,5/6,5,-7/108,-1/9,5/108
6,3/4,1/3,0,-2275/24576,-5/12288,-755/8192
6,3/4,1/3,1,-1187/10240,-1/512,-1167/10240
6,3/4,1/3,2,-6901/46080,-1/128,-6541/46080
6,3/4,1/3,3,-781/3840,-1/32,-661/3840
6,3/4,1/3,4,-143/480,-1/8,-83/480
6,3/4,1/3,5,-35/72,-1/2,1/72
6,3/4,1/2,0,-455/8192,-1/4096,-453/8192
6,3/4,1/2,1,-303/4096,-3/2048,-297/4096
6,3/4,1/2,2,-769/7680,-3/512,-181/1920
6,3/4,1/2,3,-361/2560,-3/128,-301/2560
6,3/4,1/2,4,-17/80,-3/32,-19/160
6,3/4,1/2,5,-17/48,-3/8,1/48
6,3/4,2/3,0,-455/24576,-1/12288,-151/8192
6,3/4,2/3,1,-41/1280,-1/1024,-159/5120
6,3/4,2/3,2,-2327/46080,-1/256,-2147/46080
6,3/4,2/3,3,-151/1920,-1/64,-121/1920
6,3/4,2/3,4,-61/480,-1/16,-31/480
6,3/4,2/3,5,-2/9,-1/4,1/36
6,3/4,3/4,0,0,0,0
6,3/4,3/4,1,-453/40960,-3/4096,-423/40960
6,3/4,3/4,2,-263/10240,-3/1024,-233/10240
6,3/4,3/4,3,-243/5120,-3/256,-183/5120
6,3/4,3/4,4,-27/320,-3/64,-3/80
6,3/4,3/4,5,-5/32,-3/16,1/32
6,3/4,5/6,0,455/24576,1/12288,151/8192
6,3/4,5/6,1,203/20480,-1/2048,213/20480
6,3/4,5/6,2,-1/1152,-1/512,5/4608
6,3/4,5/6,3,-25/1536,-1/128,-13/1536
6,3/4,5/6,4,-1/24,-1/32,-1/96
6,3/4,5/6,5,-13/144,-1/8,5/144
6,5/6,1/3,0,-9331/93312,-1/15552,-9325/93312
6,5/6,1/3,1,-17167/139968,-5/11664,-17107/139968
6,5/6,1/3,2,-7291/46656,-5/1944,-7171/46656
6,5/6,1/3,3,-1643/7776,-5/324,-1523/7776
6,5/6,1/3,4,-1019/3240,-5/54,-719/3240
6,5/6,1/3,5,-59/108,-5/9,1/108
6,5/6,1/2,0,-9331/139968,-1/23328,-9325/139968
6,5/6,1/2,1,-7837/93312,-5/15552,-7807/93312
6,5/6,1/2,2,-1703/15552,-5/2592,-1673/15552
6,5/6,1/2,3,-29/192,-5/432,-241/1728
6,5/6,1/2,4,-247/1080,-5/72,-43/270
6,5/6,1/2,5,-29/72,-5/12,1/72
6,5/6,2/3,0,-9331/279936,-1/46656,-9325/279936
6,5/6,2/3,1,-793/17496,-5/23328,-3157/69984
6,5/6,2/3,2,-2927/46656,-5/3888,-2867/46656
6,5/6,2/3,3,-353/3888,-5/648,-323/3888
6,5/6,2/3,4,-463/3240,-5/108,-313/3240
6,5/6,2/3,5,-7/27,-5/18,1/54
6,5/6,3/4,0,-9331/559872,-1/93312,-9325/559872
6,5/6,3/4,1,-539/20736,-5/31104,-1607/62208
6,5/6,3/4,2,-17/432,-5/5184,-199/5184
6,5/6,3/4,3,-629/10368,-5/864,-569/10368
6,5/6,3/4,4,-1/10,-5/144,-47/720
