agents,private_accuracy,shared_accuracy,attenders_before_switch,private_attention_value,social_attention_value,attention_wedge
7,1/3,3/4,4,349/11340,-1/27,769/11340
7,1/3,3/4,5,5/504,-1/18,11/168
7,1/3,3/4,6,-1/84,-1/12,1/14
7,1/3,5/6,0,2059/10206,32/729,179/1134
7,1/3,5/6,1,955/6804,-16/2187,9043/61236
7,1/3,5/6,2,16159/153090,-8/729,17839/153090
7,1/3,5/6,3,1097/13608,-4/243,1321/13608
7,1/3,5/6,4,205/3402,-2/81,289/3402
7,1/3,5/6,5,95/2268,-1/27,179/2268
7,1/3,5/6,6,1/42,-1/18,5/63
7,1/2,1/3,0,-127/2688,-1/384,-5/112
7,1/2,1/3,1,-187/2688,-1/96,-53/896
7,1/2,1/3,2,-317/3360,-1/48,-247/3360
7,1/2,1/3,3,-841/6720,-1/24,-187/2240
7,1/2,1/3,4,-419/2520,-1/12,-209/2520
7,1/2,1/3,5,-113/504,-1/6,-29/504
7,1/2,1/3,6,-13/42,-1/3,1/42
7,1/2,1/2,0,0,0,0
7,1/2,1/2,1,-5/224,-1/128,-13/896
7,1/2,1/2,2,-5/112,-1/64,-13/448
7,1/2,1/2,3,-79/1120,-1/32,-11/280
7,1/2,1/2,4,-29/280,-1/16,-23/560
7,1/2,1/2,5,-25/168,-1/8,-1/42
7,1/2,1/2,6,-3/14,-1/4,1/28
7,1/2,2/3,0,127/2688,1/384,5/112
7,1/2,2/3,1,67/2688,-1/192,27/896
7,1/2,2/3,2,17/3360,-1/96,13/840
7,1/2,2/3,3,-107/6720,-1/48,11/2240
7,1/2,2/3,4,-103/2520,-1/24,1/1260
7,1/2,2/3,5,-37/504,-1/12,5/504
7,1/2,2/3,6,-5/42,-1/6,1/21
7,1/2,3/4,0,127/1792,1/256,15/224
7,1/2,3/4,1,87/1792,-1/256,47/896
7,1/2,3/4,2,67/2240,-1/128,169/4480
7,1/2,3/4,3,51/4480,-1/64,121/4480
7,1/2,3/4,4,-1/105,-1/32,73/3360
7,1/2,3/4,5,-1/28,-1/16,3/112
7,1/2,3/4,6,-1/14,-1/8,3/56
7,1/2,5/6,0,127/1344,1/192,5/56
7,1/2,5/6,1,97/1344,-1/384,67/896
7,1/2,5/6,2,23/420,-1/192,403/6720
7,1/2,5/6,3,13/336,-1/96,11/224
7,1/2,5/6,4,11/504,-1/48,43/1008
7,1/2,5/6,5,1/504,-1/24,11/252
7,1/2,5/6,6,-1/42,-1/12,5/84
7,2/3,1/3,0,-1093/15309,-1/2187,-362/5103
7,2/3,1/3,1,-2729/30618,-4/2187,-11/126
7,2/3,1/3,2,-1723/15309,-4/729,-1639/15309
7,2/3,1/3,3,-4957/34020,-4/243,-4397/34020
7,2/3,1/3,4,-1669/8505,-4/81,-1249/8505
7,2/3,1/3,5,-317/1134,-4/27,-149/1134
7,2/3,1/3,6,-3/7,-4/9,1/63
7,2/3,1/2,0,-1093/30618,-1/4374,-181/5103
7,2/3,1/2,1,-3091/61236,-1/729,-3007/61236
7,2/3,1/2,2,-3533/51030,-1/243,-3323/51030
7,2/3,1/2,3,-719/7560,-1/81,-1877/22680
7,2/3,1/2,4,-253/1890,-1/27,-61/630
7,2/3,1/2,5,-149/756,-1/9,-65/756
7,2/3,1/2,6,-13/42,-1/3,1/42
7,2/3,2/3,0,0,0,0
7,2/3,2/3,1,-181/15309,-2/2187,-167/15309
7,2/3,2/3,2,-1984/76545,-2/729,-1774/76545
7,2/3,2/3,3,-757/17010,-2/243,-617/17010
7,2/3,2/3,4,-608/8505,-2/81,-398/8505
7,2/3,2/3,5,-65/567,-2/27,-23/567
7,2/3,2/3,6,-4/21,-2/9,2/63
7,2/3,3/4,0,1093/61236,1/8748,181/10206
7,2/3,3/4,1,919/122472,-1/1458,1003/122472
7,2/3,3/4,2,-29/6804,-1/486,-5/2268
7,2/3,3/4,3,-871/45360,-1/162,-197/15120
7,2/3,3/4,4,-457/11340,-1/54,-247/11340
7,2/3,3/4,5,-37/504,-1/18,-1/56
7,2/3,3/4,6,-11/84,-1/6,1/28
7,2/3,5/6,0,1093/30618,1/4374,181/5103
7,2/3,5/6,1,1643/61236,-1/2187,557/20412
7,2/3,5/6,2,2663/153090,-1/729,2873/153090
7,2/3,5/6,3,83/13608,-1/243,139/13608
7,2/3,5/6,4,-31/3402,-1/81,11/3402
7,2/3,5/6,5,-73/2268,-1/27,11/2268
7,2/3,5/6,6,-1/14,-1/9,5/126
7,3/4,1/3,0,-27305/344064,-5/49152,-4545/57344
7,3/4,1/3,1,-16531/172032,-1/2048,-16447/172032
7,3/4,1/3,2,-38377/322560,-1/512,-37747/322560
7,3/4,1/3,3,-16393/107520,-1/128,-15553/107520
7,3/4,1/3,4,-461/2240,-1/32,-391/2240
7,3/4,1/3,5,-605/2016,-1/8,-353/2016
7,3/4,1/3,6,-41/84,-1/2,1/84
7,3/4,1/2,0,-5461/114688,-1/16384,-2727/57344
7,3/4,1/2,1,-109/1792,-3/8192,-3467/57344
7,3/4,1/2,2,-8447/107520,-3/2048,-16579/215040
7,3/4,1/2,3,-1867/17920,-3/512,-881/8960
7,3/4,1/2,4,-81/560,-3/128,-543/4480
7,3/4,1/2,5,-145/672,-3/32,-41/336
7,3/4,1/2,6,-5/14,-3/8,1/56
7,3/4,2/3,0,-5461/344064,-1/49152,-909/57344
7,3/4,2/3,1,-4397/172032,-1/4096,-4355/172032
7,3/4,2/3,2,-2461/64512,-1/1024,-1199/32256
7,3/4,2/3,3,-6011/107520,-1/256,-5591/107520
7,3/4,2/3,4,-187/2240,-1/64,-19/280
7,3/4,2/3,5,-265/2016,-1/16,-139/2016
7,3/4,2/3,6,-19/84,-1/4,1/42
7,3/4,3/4,0,0,0,0
7,3/4,3/4,1,-909/114688,-3/16384,-111/14336
7,3/4,3/4,2,-643/35840,-3/4096,-2467/143360
7,3/4,3/4,3,-2277/71680,-3/1024,-2067/71680
7,3/4,3/4,4,-237/4480,-3/256,-369/8960
7,3/4,3/4,5,-5/56,-3/64,-19/448
7,3/4,3/4,6,-9/56,-3/16,3/112
7,3/4,5/6,0,5461/344064,1/49152,909/57344
7,3/4,5/6,1,835/86016,-1/8192,1691/172032
7,3/4,5/6,2,731/322560,-1/2048,1777/645120
7,3/4,5/6,3,-41/5376,-1/512,-61/10752
7,3/4,5/6,4,-5/224,-1/128,-13/896
7,3/4,5/6,5,-95/2016,-1/32,-1/63
7,3/4,5/6,6,-2/21,-1/8,5/168
7,5/6,1/3,0,-55987/653184,-1/93312,-1555/18144
7,5/6,1/3,1,-22187/217728,-5/69984,-199543/1959552
7,5/6,1/3,2,-60943/489888,-5/11664,-60733/489888
7,5/6,1/3,3,-17189/108864,-5/1944,-16909/108864
7,5/6,1/3,4,-14479/68040,-5/324,-13429/68040
7,5/6,1/3,5,-1433/4536,-5/54,-1013/4536
7,5/6,1/3,6,-23/42,-5/9,1/126
7,5/6,1/2,0,-55987/979776,-1/139968,-1555/27216
7,5/6,1/2,1,-17029/244944,-5/93312,-136127/1959552
7,5/6,1/2,2,-442/5103,-5/15552,-28183/326592
7,5/6,1/2,3,-677/6048,-5/2592,-499/4536
7,5/6,1/2,4,-1159/7560,-5/432,-2143/15120
7,5/6,1/2,5,-349/1512,-5/72,-61/378
7,5/6,1/2,6,-17/42,-5/12,1/84
7,5/6,2/3,0,-55987/1959552,-1/279936,-1555/54432
7,5/6,2/3,1,-72781/1959552,-5/139968,-2693/72576
7,5/6,2/3,2,-23921/489888,-5/23328,-2977/61236
7,5/6,2/3,3,-7183/108864,-5/3888,-7043/108864
7,5/6,2/3,4,-6383/68040,-5/648,-2929/34020
7,5/6,2/3,5,-661/4536,-5/108,-451/4536
7,5/6,2/3,6,-11/42,-5/18,1/63
7,5/6,3/4,0,-55987/3919104,-1/559872,-1555/108864
7,5/6,3/4,1,-82111/3919104,-5/186624,-41003/1959552
7,5/6,3/4,2,-3259/108864,-5/31104,-2161/72576
7,5/6,3/4,3,-3121/72576,-5/5184,-113/2688
7,5/6,3/4,4,-1453/22680,-5/864,-5287/90720
7,5/6,3/4,5,-13/126,-5/144,-23/336
7,5/6,3/4,6,-4/21,-5/24,1/56
7,5/6,5/6,0,0,0,0
7,5/6,5/6,1,-1555/326592,-5/279936,-9295/1959552
7,5/6,5/6,2,-2705/244944,-5/46656,-10715/979776
7,5/6,5/6,3,-545/27216,-5/7776,-1055/54432
7,5/6,5/6,4,-467/13608,-5/1296,-829/27216
7,5/6,5/6,5,-275/4536,-5/216,-85/2268
7,5/6,5/6,6,-5/42,-5/36,5/252
8,1/3,1/3,0,0,0,0
8,1/3,1/3,1,-5281/183708,-128/6561,-1697/183708
8,1/3,1/3,2,-3133/61236,-64/2187,-149/6804
8,1/3,1/3,3,-7429/102060,-32/729,-983/34020
8,1/3,1/3,4,-121/1260,-16/243,-1027/34020
8,1/3,1/3,5,-835/6804,-8/81,-163/6804
8,1/3,1/3,6,-13/84,-4/27,-5/756
8,1/3,1/3,7,-7/36,-2/9,1/36
8,1/3,1/2,0,6305/104976,64/6561,5281/104976
8,1/3,1/2,1,985/40824,-32/2187,4747/122472
8,1/3,1/2,2,-89/122472,-16/729,2599/122472
8,1/3,1/2,3,-169/7560,-8/243,719/68040
8,1/3,1/2,4,-124/2835,-4/81,16/2835
8,1/3,1/2,5,-101/1512,-2/27,11/1512
8,1/3,1/2,6,-47/504,-1/9,1/56
8,1/3,1/2,7,-1/8,-1/6,1/24
8,1/3,2/3,0,6305/52488,128/6561,5281/52488
8,1/3,2/3,1,7073/91854,-64/6561,7969/91854
8,1/3,2/3,2,761/15309,-32/2187,985/15309
8,1/3,2/3,3,1433/51030,-16/729,851/17010
8,1/3,2/3,4,97/11340,-8/243,1411/34020
8,1/3,2/3,5,-37/3402,-4/81,131/3402
8,1/3,2/3,6,-2/63,-2/27,8/189
8,1/3,2/3,7,-1/18,-1/9,1/18
8,1/3,3/4,0,31525/209952,160/6561,26405/209952
8,1/3,3/4,1,25337/244944,-16/2187,9043/81648
8,1/3,3/4,2,18353/244944,-8/729,21041/244944
8,1/3,3/4,3,7253/136080,-4/243,9493/136080
8,1/3,3/4,4,787/22680,-2/81,449/7560
8,1/3,3/4,5,155/9072,-1/27,491/9072
8,1/3,3/4,6,-1/1008,-1/18,55/1008
8,1/3,3/4,7,-1/48,-1/12,1/16
8,1/3,5/6,0,6305/34992,64/2187,5281/34992
8,1/3,5/6,1,6817/52488,-32/6561,7073/52488
8,1/3,5/6,2,12265/122472,-16/2187,4387/40824
8,1/3,5/6,3,16027/204120,-8/729,6089/68040
8,1/3,5/6,4,23/378,-4/243,263/3402
8,1/3,5/6,5,613/13608,-2/81,949/13608
8,1/3,5/6,6,5/168,-1/27,101/1512
8,1/3,5/6,7,1/72,-1/18,5/72
8,1/2,1/3,0,-85/2048,-1/768,-247/6144
8,1/2,1/3,1,-421/7168,-1/192,-1151/21504
8,1/2,1/3,2,-835/10752,-1/96,-241/3584
8,1/2,1/3,3,-901/8960,-1/48,-2143/26880
8,1/2,1/3,4,-583/4480,-1/24,-1189/13440
8,1/2,1/3,5,-229/1344,-1/12,-39/448
8,1/2,1/3,6,-51/224,-1/6,-41/672
8,1/2,1/3,7,-5/16,-1/3,1/48
8,1/2,1/2,0,0,0,0
8,1/2,1/2,1,-247/14336,-1/256,-191/14336
8,1/2,1/2,2,-247/7168,-1/128,-191/7168
8,1/2,1/2,3,-967/17920,-1/64,-687/17920
8,1/2,1/2,4,-699/8960,-1/32,-419/8960
8,1/2,1/2,5,-295/2688,-1/16,-127/2688
8,1/2,1/2,6,-69/448,-1/8,-13/448
8,1/2,1/2,7,-7/32,-1/4,1/32
8,1/2,2/3,0,85/2048,1/768,247/6144
8,1/2,2/3,1,87/3584,-1/384,289/10752
8,1/2,2/3,2,47/5376,-1/192,25/1792
8,1/2,2/3,3,-33/4480,-1/96,41/13440
8,1/2,2/3,4,-29/1120,-1/48,-17/3360
8,1/2,2/3,5,-11/224,-1/24,-5/672
8,1/2,2/3,6,-9/112,-1/12,1/336
8,1/2,2/3,7,-1/8,-1/6,1/24
8,1/2,3/4,0,255/4096,1/512,247/4096
8,1/2,3/4,1,1291/28672,-1/512,1347/28672
8,1/2,3/4,2,435/14336,-1/256,491/14336
8,1/2,3/4,3,571/35840,-1/128,851/35840
8,1/2,3/4,4,3/17920,-1/64,283/17920
8,1/2,3/4,5,-101/5376,-1/32,67/5376
8,1/2,3/4,6,-39/896,-1/16,17/896
8,1/2,3/4,7,-5/64,-1/8,3/64
8,1/2,5/6,0,85/1024,1/384,247/3072
8,1/2,5/6,1,943/14336,-1/768,2885/43008
8,1/2,5/6,2,1117/21504,-1/384,391/7168
8,1/2,5/6,3,703/17920,-1/192,2389/53760
8,1/2,5/6,4,47/1792,-1/96,197/5376
8,1/2,5/6,5,31/2688,-1/48,29/896
8,1/2,5/6,6,-3/448,-1/24,47/1344
8,1/2,5/6,7,-1/32,-1/12,5/96
8,2/3,1/3,0,-410/6561,-1/6561,-409/6561
8,2/3,1/3,1,-6967/91854,-4/6561,-6911/91854
8,2/3,1/3,2,-2843/30618,-4/2187,-929/10206
8,2/3,1/3,3,-11813/102060,-4/729,-3751/34020
8,2/3,1/3,4,-421/2835,-4/243,-1123/8505
8,2/3,1/3,5,-338/1701,-4/81,-254/1701
8,2/3,1/3,6,-71/252,-4/27,-101/756
8,2/3,1/3,7,-31/72,-4/9,1/72
8,2/3,1/2,0,-205/6561,-1/13122,-409/13122
8,2/3,1/2,1,-865/20412,-1/2187,-2567/61236
8,2/3,1/2,2,-3433/61236,-1/729,-3349/61236
8,2/3,1/2,3,-1679/22680,-1/243,-4757/68040
8,2/3,1/2,4,-563/5670,-1/81,-493/5670
8,2/3,1/2,5,-26/189,-1/27,-19/189
8,2/3,1/2,6,-101/504,-1/9,-5/56
8,2/3,1/2,7,-5/16,-1/3,1/48
8,2/3,2/3,0,0,0,0
8,2/3,2/3,1,-409/45927,-2/6561,-395/45927
8,2/3,2/3,2,-295/15309,-2/2187,-281/15309
8,2/3,2/3,3,-1649/51030,-2/729,-503/17010
8,2/3,2/3,4,-142/2835,-2/243,-356/8505
8,2/3,2/3,5,-130/1701,-2/81,-88/1701
8,2/3,2/3,6,-5/42,-2/27,-17/378
8,2/3,2/3,7,-7/36,-2/9,1/36
8,2/3,3/4,0,205/13122,1/26244,409/26244
8,2/3,3/4,1,137/17496,-1/4374,47/5832
8,2/3,3/4,2,-107/122472,-1/1458,-23/122472
8,2/3,3/4,3,-1559/136080,-1/486,-1279/136080
8,2/3,3/4,4,-289/11340,-1/162,-73/3780
8,2/3,3/4,5,-26/567,-1/54,-31/1134
8,2/3,3/4,6,-79/1008,-1/18,-23/1008
8,2/3,3/4,7,-13/96,-1/6,1/32
8,2/3,5/6,0,205/6561,1/13122,409/13122
8,2/3,5/6,1,4513/183708,-1/6561,4541/183708
8,2/3,5/6,2,1073/61236,-1/2187,367/20412
8,2/3,5/6,3,1919/204120,-1/729,733/68040
8,2/3,5/6,4,-1/1134,-1/243,11/3402
8,2/3,5/6,5,-26/1701,-1/81,-5/1701
8,2/3,5/6,6,-19/504,-1/27,-1/1512
8,2/3,5/6,7,-11/144,-1/9,5/144
8,3/4,1/3,0,-109225/1572864,-5/196608,-36395/524288
8,3/4,1/3,1,-225719/2752512,-1/8192,-225383/2752512
8,3/4,1/3,2,-203227/2064384,-1/2048,-202219/2064384
8,3/4,1/3,3,-104159/860160,-1/512,-102479/860160
8,3/4,1/3,4,-33199/215040,-1/128,-31519/215040
8,3/4,1/3,5,-6695/32256,-1/32,-5687/32256
8,3/4,1/3,6,-811/2688,-1/8,-475/2688
8,3/4,1/3,7,-47/96,-1/2,1/96
8,3/4,1/2,0,-21845/524288,-1/65536,-21837/524288
8,3/4,1/2,1,-94655/1835008,-3/32768,-94487/1835008
8,3/4,1/2,2,-88567/1376256,-3/8192,-88063/1376256
8,3/4,1/2,3,-46871/573440,-3/2048,-46031/573440
8,3/4,1/2,4,-15349/143360,-3/512,-14509/143360
8,3/4,1/2,5,-3167/21504,-3/128,-2663/21504
8,3/4,1/2,6,-391/1792,-3/32,-223/1792
8,3/4,1/2,7,-23/64,-3/8,1/64
8,3/4,2/3,0,-21845/1572864,-1/196608,-7279/524288
8,3/4,2/3,1,-29123/1376256,-1/16384,-29039/1376256
8,3/4,2/3,2,-31237/1032192,-1/4096,-30985/1032192
8,3/4,2/3,3,-18227/430080,-1/1024,-17807/430080
8,3/4,2/3,4,-803/13440,-1/256,-1501/26880
8,3/4,2/3,5,-1403/16128,-1/64,-1151/16128
8,3/4,2/3,6,-181/1344,-1/16,-97/1344
8,3/4,2/3,7,-11/48,-1/4,1/48
8,3/4,3/4,0,0,0,0
8,3/4,3/4,1,-21837/3670016,-3/65536,-21669/3670016
8,3/4,3/4,2,-12127/917504,-3/16384,-11959/917504
8,3/4,3/4,3,-26037/1146880,-3/4096,-25197/1146880
8,3/4,3/4,4,-10347/286720,-3/1024,-9507/286720
8,3/4,3/4,5,-815/14336,-3/256,-647/14336
8,3/4,3/4,6,-333/3584,-3/64,-165/3584
8,3/4,3/4,7,-21/128,-3/16,3/128
8,3/4,5/6,0,21845/1572864,1/196608,7279/524288
8,3/4,5/6,1,7283/786432,-1/32768,7307/786432
8,3/4,5/6,2,15805/4128768,-1/8192,16309/4128768
8,3/4,5/6,3,-5203/1720320,-1/2048,-4363/1720320
8,3/4,5/6,4,-1069/86016,-1/512,-901/86016
8,3/4,5/6,5,-1723/64512,-1/128,-1219/64512
8,3/4,5/6,6,-275/5376,-1/32,-107/5376
8,3/4,5/6,7,-19/192,-1/8,5/192
8,5/6,1/3,0,-335923/4478976,-1/559872,-335915/4478976
8,5/6,1/3,1,-4098247/47029248,-5/419904,-4097687/47029248
8,5/6,1/3,2,-809183/7838208,-5/69984,-9983/96768
8,5/6,1/3,3,-164147/1306368,-5/11664,-54529/435456
8,5/6,1/3,4,-19241/120960,-5/1944,-170369/1088640
8,5/6,1/3,5,-23287/108864,-5/324,-21607/108864
8,5/6,1/3,6,-71/224,-5/54,-1357/6048
8,5/6,1/3,7,-79/144,-5/9,1/144
8,5/6,1/2,0,-335923/6718464,-1/839808,-335915/6718464
8,5/6,1/2,1,-619589/10450944,-5/559872,-1858487/31352832
8,5/6,1/2,2,-1121209/15676416,-5/93312,-1120369/15676416
8,5/6,1/2,3,-8563/96768,-5/15552,-76787/870912
8,5/6,1/2,4,-82519/725760,-5/2592,-81119/725760
8,5/6,1/2,5,-3749/24192,-5/432,-3469/24192
8,5/6,1/2,6,-937/4032,-5/72,-73/448
8,5/6,1/2,7,-13/32,-5/12,1/96
8,5/6,2/3,0,-335923/13436928,-1/1679616,-335915/13436928
8,5/6,2/3,1,-739027/23514624,-5/839808,-738887/23514624
8,5/6,2/3,2,-156013/3919104,-5/139968,-155873/3919104
8,5/6,2/3,3,-33527/653184,-5/23328,-11129/217728
8,5/6,2/3,4,-6199/90720,-5/3888,-18247/272160
8,5/6,2/3,5,-5227/54432,-5/648,-4807/54432
8,5/6,2/3,6,-149/1008,-5/108,-307/3024
8,5/6,2/3,7,-19/72,-5/18,1/72
8,5/6,3/4,0,-335923/26873856,-1/3359232,-335915/26873856
8,5/6,3/4,1,-156763/8957952,-5/1119744,-52241/2985984
8,5/6,3/4,2,-750947/31352832,-5/186624,-750107/31352832
8,5/6,3/4,3,-57041/1741824,-5/31104,-56761/1741824
8,5/6,3/4,4,-66257/1451520,-5/5184,-21619/483840
8,5/6,3/4,5,-9661/145152,-5/864,-8821/145152
8,5/6,3/4,6,-851/8064,-5/144,-571/8064
8,5/6,3/4,7,-37/192,-5/24,1/64
8,5/6,5/6,0,0,0,0
8,5/6,5/6,1,-335915/94058496,-5/1679616,-335635/94058496
8,5/6,5/6,2,-126895/15676416,-5/279936,-42205/5225472
8,5/6,5/6,3,-37015/2612736,-5/46656,-12245/870912
8,5/6,5/6,4,-1111/48384,-5/7776,-9719/435456
8,5/6,5/6,5,-8075/217728,-5/1296,-7235/217728
8,5/6,5/6,6,-85/1344,-5/216,-485/12096
8,5/6,5/6,7,-35/288,-5/36,5/288
