network_id,spec_key,scope,profile,canonical_label,sources,edges,mean_source_accuracy,exposure_weighted_accuracy,source_hhi,mean_pair_source_overlap,mean_pair_agreement,private_discovery
C373,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0100;2-3@1011,3,6,5/9,5/9,7/18,2/3,5/9,11/12
C374,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0100;2-3@1100,3,5,5/9,8/15,9/25,1/3,37/72,23/27
C375,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0100;2-3@1101,3,6,5/9,5/9,7/18,2/3,79/144,23/27
C376,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0100;2-3@1111,3,7,5/9,4/7,3/7,7/6,23/36,5/6
C377,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0101;2-3@1001,3,6,5/9,5/9,1/3,1/2,19/36,25/27
C378,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0101;2-3@1010,3,6,5/9,5/9,1/3,1/2,77/144,11/12
C379,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0101;2-3@1011,3,7,5/9,4/7,17/49,5/6,11/18,295/324
C380,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0101;2-3@1100,3,6,5/9,5/9,1/3,1/2,73/144,8/9
C381,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0101;2-3@1101,3,7,5/9,4/7,17/49,5/6,41/72,70/81
C382,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0101;2-3@1110,3,7,5/9,4/7,17/49,5/6,83/144,95/108
C383,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0101;2-3@1111,3,8,5/9,7/12,3/8,4/3,97/144,275/324
C384,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0111;2-3@1011,3,8,5/9,7/12,11/32,7/6,77/108,437/486
C385,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0111;2-3@1100,3,7,5/9,4/7,17/49,5/6,5/9,97/108
C386,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0111;2-3@1101,3,8,5/9,7/12,11/32,7/6,91/144,95/108
C387,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@0111;2-3@1111,3,9,5/9,16/27,29/81,5/3,163/216,137/162
C388,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@1100;2-3@1100,3,6,5/9,5/9,1/3,1/2,37/72,23/27
C389,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@1100;2-3@1101,3,7,5/9,4/7,17/49,5/6,19/36,47/54
C390,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@1100;2-3@1111,3,8,5/9,7/12,3/8,4/3,43/72,187/216
C391,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@1101;2-3@1101,3,8,5/9,7/12,11/32,7/6,41/72,70/81
C392,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@1101;2-3@1110,3,8,5/9,7/12,11/32,7/6,83/144,95/108
C393,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@1101;2-3@1111,3,9,5/9,16/27,29/81,5/3,47/72,70/81
