agents,private_accuracy,shared_accuracy,private_dominant,public_dominant,contrarian,discovery,action_quality,expected_distinct_actions,weak_equilibrium,strict_equilibrium,planner_optimal
2,3/4,1/3,0,2,0,1/3,1/3,1,False,False,False
2,3/4,1/3,1,0,1,5/6,13/24,5/3,False,False,False
2,3/4,1/3,1,1,0,5/6,13/24,5/3,False,False,False
2,3/4,1/3,2,0,0,15/16,3/4,45/32,True,True,True
2,3/4,1/2,0,0,2,75/128,7/16,45/32,False,False,False
2,3/4,1/2,0,1,1,9/16,15/32,25/16,False,False,False
2,3/4,1/2,0,2,0,1/2,1/2,1,False,False,False
2,3/4,1/2,1,0,1,55/64,19/32,205/128,False,False,False
2,3/4,1/2,1,1,0,7/8,5/8,25/16,False,False,False
2,3/4,1/2,2,0,0,15/16,3/4,45/32,True,True,True
2,3/4,2/3,0,0,2,45/64,13/24,45/32,False,False,False
2,3/4,2/3,0,1,1,17/24,29/48,35/24,False,False,False
2,3/4,2/3,0,2,0,2/3,2/3,1,False,False,False
2,3/4,2/3,1,0,1,85/96,31/48,295/192,False,False,False
2,3/4,2/3,1,1,0,11/12,17/24,35/24,False,False,False
2,3/4,2/3,2,0,0,15/16,3/4,45/32,True,True,True
2,3/4,3/4,0,0,2,195/256,19/32,45/32,False,False,False
2,3/4,3/4,0,1,1,25/32,43/64,45/32,False,False,False
2,3/4,3/4,0,2,0,3/4,3/4,1,False,False,False
2,3/4,3/4,1,0,1,115/128,43/64,385/256,False,False,False
2,3/4,3/4,1,1,0,15/16,3/4,45/32,True,False,True
2,3/4,3/4,2,0,0,15/16,3/4,45/32,True,False,True
2,3/4,5/6,0,0,2,105/128,31/48,45/32,False,False,False
2,3/4,5/6,0,1,1,41/48,71/96,65/48,False,False,False
2,3/4,5/6,0,2,0,5/6,5/6,1,False,False,False
2,3/4,5/6,1,0,1,175/192,67/96,565/384,False,False,False
2,3/4,5/6,1,1,0,23/24,19/24,65/48,True,True,True
2,3/4,5/6,2,0,0,15/16,3/4,45/32,False,False,False
2,5/6,1/3,0,0,2,31/72,1/3,31/24,False,False,False
